domain_name,company_name,no_of_employees
deepmap.ai,,
gridworks-ic.org,,
aceable.com,Aceable,11-50
edgeoffice.com,Edge Office,
trailmixgames.com,Trailmix Games,
mybrightwheel.com,,
deloitte.com,Deloitte US,362000
shipbtb.com,Shipbtb,
meltwater.com,Meltwater,1000-5000
studioh-int.com,,
tubitv.com,,
lyrahealth.com,Lyra Health,
incipio.com,,
happiestbaby.com,Happiest Baby,11-50
sumo.com,Sumo Group,
workato.com,Workato,657
continuainteriors.com,,
streak.com,Streak,11-50
mythical.games,Mythical Games,160
tyannikov.com,,
thirdwave.ai,Third Wave Automation,11-50
invisible.email,invisible.email,
skinspecialtysolutions.com,,
lyric.com,,
techwave.net,Techwave,501-1000
flipcause.com,Flipcause,50
tubi.tv,Tubi,495
arundo.com,,
impact.com,Impact Technologies,
brothertreehouse.com,Brother Treehouse,
thclinic.org,,
turntide.com,Turntide Technologies,
micropulseinc.com,Micropulse,251-500
netlify.com,Netlify,
maritz.com,,
skassociatesllc.com,SKASSOCIATESLLC.COM,
standleys.com,Standley Systems,
mynd.co,Mynd,
gotruemotion.com,,
affinity.co,Affinity,11-50
mhelpdesk.com,,
keiser.com,Keiser Corporation,
dppre.com,Dppre,
auptix.com,Flock Freight,
directly.com,,
clsmf.org,,
fastg8.com,fastg8.com,
15five.com,,
hoshogroup.com,,
bluevine.com,BlueVine,
okdiversionhub.org,Diversion Hub,
heartofhospice.net,,
ee.gg,ee.gg,
lucidchart.com,Lucid Software,
launchdarkly.com,LaunchDarkly,
infinitycsc.com,,
pyramidtransport.com,Pyramid Transport,
marketdial.com,MarketDial,
azul3d.com,Azul 3D,26
laurasecord.ca,Laura Secord,
symphonyai.com,,
hellercg.com,Heller Capital Group,
coolibar.com,"Coolibar, Inc.",88
crefco.com,,
liveauctioneers.com,LiveAuctioneers,11-50
nextgenleads.com,NextGen Leads,101-250
granicus.com,Granicus,251-500
knowink.com,KNOW iNK,
landryfrench.com,Landry French,
regalix-inc.com,,
repmgroup.com,Repmgroup,
ghostery.com,,
satisfyer.com,Satisfyer,
layerzerolabs.org,Layerzerolabs,
sambasafety.com,,
stonefieldeng.com,Stonefield Engineering & Design (97 employees,100
aeonnexus.com,Aeon Nexus,11-50
scale.tech,Scale,101-250
wearehygge.com,,
theredx.com,,
contractor.net,contractor.net,
boston.bbb.org,,
happy-or-not.com,,
pathai.com,PathAI,51-100
hellokoru.com,,
halecpagroup.com,Halecpagroup,
sekologistics.com,,
atmosera.com,Atmosera,51-100
wellapp.com,Well Health,
hollandbpw.com,Holland BPW,
apartmentlist.com,Apartment List,101-250
motionmetrics.com,Motion Metrics,
outdoorsy.co,"Outdoorsy, Inc",11-50
titanplatform.us,,
healthnowca.com,,
meetfellow.com,Fellow,1-10
quanticmind.com,,
deeplydigital.com,Deeply Digital,
practicepanther.com,,
infinity-cs.com,Infinity Consulting Solutions,
pandadoc.com,PandaDoc,251-500
coschedule.com,CoSchedule,11-50
zapenergyinc.com,Zap Energy,
harmonigp.com,Harmonigp,
gogradys.com,,
belusallc.com,Belusallc,
derivesystems.com,,
thebrookfieldgroup.com,The Brookfield Group,
petdesk.com,PetDesk,51-100
lifefuels.co,,
brandablela.com,,
nationalengineering.com,National Engineering,
zello.com,Zello,11-50
vsco.co,VSCO,101-250
brillio.com,Brillio,1000-5000
peachjar.com,Peachjar,11-50
cardlytics.com,Cardlytics,
disruptiveadvertising.com,,
battlebeavercustoms.com,Battle Beaver,
quavermusic.com,QuaverMusic,
fundraiseup.com,Fundraise Up,
portxlogistics.com,Port X Logistics,37
schousecalls.com,schousecalls.com,
liveperson.com,LivePerson,
lumity.com,Lumity Inc,97
thirdcoastinteriors.net,,
colorado.edu,Deming Center Venture Fund,9483
geotecnologias.com,,
resoundnetworks.com,Resound Networks,
cowbellcyber.ai,Cowbell,
commvault.com,Commvault,
smallhd.com,,
levantpower.com,,
voxelai.com,Voxelai,
libiny.com,Libiny,
automox.com,Automox,
homeriver.com,HomeRiver Group,
nirvanahealthcare.com,,
bossaudio.com,bossaudio.com,
sjcoe.net,,
wineaccess.com,,
getguru.com,Guru,
wc-3.com,"West Coast Code Consultants, Inc.",101-250
handsomehomebuyer.com,Handsome Homebuyer,
peerstreet.com,,
casinocashtrac.com,Casino Cash Trac,44
ymcarichmond.org,YMCAGreaterRichmond,
vbc.co,,
sentibio.com,Senti Biosciences,
colder.com,,
tangibleplay.com,Tangible Play,
rightnetworks.com,Right Networks,
trustpayglobal.com,,
vaco.com,Vaco Technology,
fandom.com,Fandom,
lumapps.com,,
whiterabbit.ai,,
rakuten.com,Rakuten Rewards,
isoutsource.com,ISOutsource,51-100
secc.org,Southeast Christian Church,1503
resolvn.com,,
shiftleft.io,ShiftLeft,11-50
macarta.com,Macarta,
lac-group.com,,
ecoplumbers.com,ecoplumbers.com,
forevercompanies.com,,
bluemark.com,BlueMark Ink,97
planttherapy.com,,
wevideo.com,WeVideo,
usgs.gov,USGS,
wishinguwell.com,Wishing U Well,
aethercomm.com,Aethercomm,
artemisit.com,,
reservetrust.com,The Reserve Trust Company,
haleon.com,GSK,
coreandmain.com,Core & Main LP,
2lm.fr,,
summitlineconstruction.com,Summitlineconstruction,
shelfengine.com,Shelf Engine,
jobox.ai,JOBOX.ai,51-100
forwardthinkingdesigns.com,FORWARDTHINKINGDESIGNS.COM,
ruckusgroup.com,,
ambient.ai,Ambient.ai,11-50
electric.ai,Electric,
teachstone.com,,
tetravue.com,,
marinelayer.com,Marinelayer,11-50
cloudknox.io,CloudKnox Security,
nextfund.com,NextFund,
rtdfinancial.com,RTD Financial,11-50
vistajet.com,,
varomoney.com,Varo Money,251-500
hellotech.com,,
guidantfinancial.com,Guidant Financial Group,
keellc.com,Kelley Engineered Equipment,22
fusefx.com,FuseFX,251-500
titanaes.com,Titan Advanced Energy Solutions,
globalxair.com,GlobalX Airlines,
lote.org,lote.org,
scotty.ai,,
encompas.com,,
er2.com,ER2,
tacomaartslive.org,Tacoma Arts Live,79
twosixlabs.com,TwoSix Labs,51-100
terasaki.org,Terasaki Institute for Biomedical Innovation,
waterstreetcompany.com,WaterStreet Company,
powerflex.com,PowerFlex Systems,
custompatchhats.com,custompatchhats.com,
industrialcolor.com,,
tubescience.com,TubeScience,
kp3endeavors.com,Kp3endeavors,
turingvideo.com,Turing Video,36
peopleconnect.us,Peopleconnect.us,
gha-associates.com,GHA Technologies,101-250
mapletronics.com,MapleTronics Computers Inc.,
calienteconstruction.com,"Caliente Construction, Inc.",101-250
digi.com,Digi International,699
path-tec.com,Path-Tec,51-100
incubatorspace.vegas,Incubator Space,
modsy.com,,
probablymonsters.com,,
stanleyruth.com,Stanley Ruth Company,
